id,full_name
122053727,QualiSystems/shellfoundry-tosca-custom-service-template
72637616,GabrielGrimberg/La-Toscana-Website
87972930,open-o/common-tosca-catalog
160565230,dereklopes/sample-TOSCA-profile
271532242,izharabbasi/Scraping-quotes-toscape.com-
57882475,alfcrisci/layer_geoscopio_Toscana
3788500,BrixtonC/ToSCalc.py
87972824,open-o/common-tosca-aria
87973051,open-o/common-tosca-inventory
144325554,automationtestgit/automaToscaGit
187028051,vebqa/hp2tosca
234562249,princessfruittt/tosca-k8s
191104269,rahulmanna/IntegrationWithTosca
48606129,nyuuyn/PhpMoodleApp
143669565,mpwibm/K8S-Deploy-Core
244485600,lharzenetter/tosca-definitions-workshop
42120728,javierpena/python-tosca-parser
162602822,josecastillolema/etsi2tosca
70631003,01000101/aria-csar-extension
185754172,zondor/awesome-subsets
35319495,alexander-bergmayr/caml2tosca
122053445,QualiSystems/shellfoundry-tosca-cloud-service-template
221243732,ystia/tdt2go
12433309,VRT-onderzoek-en-innovatie/tosca-mp-services
101315814,MikeAScott/tosca-jenkins-helpers
260493004,QCDIS/openAPI-model
23809745,yvonnemm/Buildicus-Villa-Tosca-Travel
67747765,blsaws/tosca-hello-world
106340689,dfilppi/fortigate-tosca-example
133096817,MegaArman/Ask_Toscanini_v0
115206499,openov2/common-tosca-inventory
218659165,santiagotoscanini/Toscanini-Tejerina-IS
274180047,xlitman13/Team-Toscani-Code
33222550,realjoet/bdw-blog-joe-toscano
82678730,eradan/ckanext-toscana-reports
83288949,scaccogatto/cfr-toscana-api
113341346,teone/xos-tosca-cli
177048611,Shazia-Dean/Small-Tosca-Project
241312307,radon-h2020/demo-tosca-blueprint-openfaas
189942815,raghvendra-v/tosca-yaml-lsp
163863991,pmjordan/TOSCA_for_TMForum
81971729,lucboutier/tosca-artifact-samples
265577853,toscanadecor/toscanadecor.github.io
244666496,Rishon73/tosca-execute-print-email
244761223,sunetro123/from-empty-toscala
30645065,nyuuyn/openTOSCAContainerDependencies
47966582,alpegon/tosca-to-hot
131271789,vebqa/vebtal-tosca-keywords
126427525,lianhao/vCPE_tosca
174755714,matosca/maria_toscano_PDA
170233075,Shazia-Dean/Tosca-Training-AccessToys-
243535205,AkshayP36/TestToscaJenkins
284975650,ToscanaPirata/www.toscanapirata.it
243543041,lexis-project/application-templates
32009441,kiuby88/tosca-parser-OT
54025442,csgf/jsaga-adaptor-tosca
110112092,pineunity/mec-tosca-parser
134291089,tommyblue/pediatri-usl-toscana-centro
115206535,openov2/common-tosca-model-designer
128033039,QualiSystems/shellfoundry-tosca-loadbalancer-template
238565031,baptistemokas/Toscade_Project-MATLAB-
292589214,Ms507376/TOSCA-Interview-Questions
144216662,arjunkapur95/referencePointToscaTestcases
134079202,LaviniaToscani/LaviniaToscani2vv
129739361,QualiSystems/shellfoundry-tosca-cloudprovider-template
170234584,Shazia-Dean/Tosca-Training-Grand-Scenario-
120610078,osinstom/kubernetes-cluster-tosca
216531912,DivyaK13/sampleTosca2
80401702,QualiSystems/shellfoundry-tosca-firewall-template
20850853,xiasiliang-hit/tosca_db2
64408007,alien4cloud/mesos-tosca-blueprints
67333147,QualiSystems/shell-networking-standard-tosca
82373244,ZebigD/tosca_java_model
187005832,DARKinVADER/TricentisToscaCustomizationTutorials
199859819,nathaliacamara/Automation_Project_Tosca
287319180,toscachips/tosca.github.io
191824360,adispataru/aspide-tosca-dsl
115069264,onap/sdc-sdc-tosca
318225365,Toscar-bit/toscar.gihub.io
23708293,eradan/ckanext-toscana_theme
84080636,eradan/ckanext-toscana-harvest
165592435,NaturesProphet/AutenticacaoBasicaTosca
170238456,Shazia-Dean/Tosca-Training-Level-1
183388919,systic/tosca_wires_final
198871466,cristianoc72/il-bosso-di-toscana
163548517,joseppe10/Discord-Tosca-Bot
244163422,vinkal3/for-git-tosca
225992444,Rishon73/tosca-ci-integration
82539813,ditrit/tosca_java_model
254648405,eriksanchez/toscana-riporti-project
144216662,arjunkapur95/referencePointToscaTestcases
134079202,LaviniaToscani/LaviniaToscani2vv
129739361,QualiSystems/shellfoundry-tosca-cloudprovider-template
170234584,Shazia-Dean/Tosca-Training-Grand-Scenario-
120610078,osinstom/kubernetes-cluster-tosca
216531912,DivyaK13/sampleTosca2
80401702,QualiSystems/shellfoundry-tosca-firewall-template
20850853,xiasiliang-hit/tosca_db2
64408007,alien4cloud/mesos-tosca-blueprints
67333147,QualiSystems/shell-networking-standard-tosca
82373244,ZebigD/tosca_java_model
187005832,DARKinVADER/TricentisToscaCustomizationTutorials
199859819,nathaliacamara/Automation_Project_Tosca
287319180,toscachips/tosca.github.io
191824360,adispataru/aspide-tosca-dsl
115069264,onap/sdc-sdc-tosca
318225365,Toscar-bit/toscar.gihub.io
243543041,lexis-project/application-templates
46990951,ErickaToscano01/Practica-ErickaToscano
87973145,open-o/common-tosca-model-designer
160487433,DDemmer1/open-tosca-test-app
285942602,toscalechner/toscalechner.github.io
304301643,qcdis-sdia/sdia-sure_tosca-client
61383418,toscards/toscards.github.io
65225739,FutureGateway/TestTosca-portlet
278273905,manuelvita96/webdesign.toscana.it
317373893,Toscar-bit/Toscar.github.io
317530517,pmjordan/OAS3-to-TOSCA
61816594,aiorchestra/aiorchestra-docker-plugin
109027788,UoW-CPC/ColaPolicies
240102344,tliron/puccini-web
51061849,lucboutier/tosca-test-cases
31172348,hschne/tosca-user-account
136473212,schut79/valori-tosca-repository
208803409,projeto-de-algoritmos/Graphs2-MatheusToscano
221362459,tosca-wilson/tosca-poke-api
242997596,radon-h2020/radon-tosca-metrics
318501772,renghen/scala2toscala3
13505642,nadirs/toscana_comuni_latlong
81724262,anatoly-katzman/tosca-support-matrix
86044073,tktamas/CodeBlocks_TOSCAN
119054351,icshwi/e3-tosca
285810088,frassom/wp-covid-19-toscana
203573429,OpenTOSCA/tosca-yaml-plugins
144883534,automationtestgit/DB_TOSCA_SBL63_ECH
216775720,radon-h2020/demo-lambda-thumbgen-tosca-datapipeline
19939642,tosca-types/openstack
60285311,CloudCycle2/heatTemplate-openTOSCA-Container
39836413,dfensgmbh/biz.dfch.CS.Tosca.Model
90533088,QualiSystems/shellfoundry-tosca-software_asset-template
91097478,DangiGabri/Sito-Softair-Lupi-di-Toscana
207505486,j-toscani/tic-tac-toe-j-toscani
183979480,Shazia-Dean/G8EduToscaProject
181350309,dan3toscano/dan301toscano.github.io
251551726,radon-h2020/demo-tosca-blueprint-azure-function
288107799,ErickLlerenas/la-app-de-memo-toscano
100939982,QualiSystems/shellfoundry-tosca-broadband_media-template
72996501,QualiSystems/shellfoundry-tosca-traffic-generator-template
106561946,kleinech/TOSCA-YAML-XML-Converter-Presentation
66653795,JureBericic/HallC_PyToscaFM
66928901,alien4cloud/alien4cloud-tosca-conformance
178214578,caseimagine/19NZS000518AllianzToscana
82186130,ditrit/workflows
221645429,chinmaya-dehury/webApp-loadbalancer-DB-TOSCA
40699422,toscanarestaurant/Toscana-City-Centre-Italian-Restaurant
207408468,vc-csv15/EX01-LinearSearch-julia-toscano
256826685,garciadd/XDC_Deep
173762864,QualiSystems/shellfoundry-tosca-generic_connectable_resource-template
207291861,EDAII/Lista2_IgorGomes_MatheusToscano
22425544,GITenberg/La-Tosca--Drame-en-cinq-actes_19540
163728197,QualiSystems/shellfoundry-tosca-admin-only-custom-service-template
22524975,GITenberg/Garibaldi-in-toscana-nel-1848_34066
263590770,Afsana2910/webApp-loadbalancer-node_exporter-TOSCA
171273266,QualiSystems/shellfoundry-tosca-resource_with_connected_commands-template
267197438,ARex1394/TareaEnCasaDiegoArturoToscaHdez
220678749,shogunxam/Home-Assistant-custom-components-cfr-toscana
215160093,EDAII/Lista4_MatheusToscano_IgorAragao
46468539,atabisz/tcdutils
211736090,EDAII/Lista3_IgorGomes_MatheusToscano
205408707,EDAII/Lista1_IgorGomes_MatheusToscano
317850539,qmatteoq/DotNetConf2020-DotNetToscana
5486373,andrenicodemus/project-euler
109001544,gleblebedev/Urho3D_Nyra
188049921,surbhisonkiya/Blueprints-Cloudify-OpenStack
181262521,hysds/hysds_ui
298295423,SODALITE-EU/iac-modules
122201995,QualiSystems/shellfoundry-tosca-traffic-generator-chassis-template
251555469,radon-h2020/demo-tosca-blueprint-faas-aws-azure
246879918,BorjaEst/im-test
122201995,QualiSystems/shellfoundry-tosca-traffic-generator-chassis-template
251555469,radon-h2020/demo-tosca-blueprint-faas-aws-azure
143782212,onap/archive-sdc-dcae-d-tosca-lab
194831468,Legion2/external-service-injection
115029572,Arunr007/DevOp-automation-seminar-paper
274923999,unict-cclab/TORCH
71890928,di-unipi-socc/DrACO
130203873,EricFernandezDC/SoftiFIRE-Hackathon
99420995,ditrit/normative_types
186997760,surbhisonkiya/openstack-network
74282157,di-unipi-socc/tosker-types
62570021,aiorchestra/aiorchestra-chain-plugin
297274835,SODALITE-EU/platform-discovery-service
135136612,st107755/BA
59925985,horita-yuya/AP
222843851,benjithompson/SSLapp
3246050,lsl/ddcl
141794451,MonolithProjects/NC_VNF_MANO_ArtIracts
40482520,tosca-types/mediawiki
225428765,SODALITE-EU/iac-quality-framework
46868552,owulveryck/digraph
9766232,suhaswlk/dropdown-check-list
52270150,dice-project/DICE-Deployment-Service
201532326,Bombeta/CidadeDeMerda
64390277,toscafy/csar-bricks
264846184,radon-h2020/radon-datapipeline-plugin
225427683,SODALITE-EU/verification
133923600,onapdemo/so
129539228,dztunc/funcoes
225428689,SODALITE-EU/defect-prediction
277592018,GITenberg/XII-conti-pomiglianesi-con-varianti-avellinesi-montellesi-bagnolesi-milanesi-toscane-ecc_62477
22538780,GITenberg/Rimatori-siculo-toscani-del-dugentoSerie-prima---Pistoiesi-Lucchesi-Pisani_39239
228704036,jorgefnb64e/Entrega---Programaci-n-Web-para-el-docente-Alexander-Toscano-Ricardo---Diciembre-de-2019
86910582,ns7381/cloud-ops
85276961,Lvbo163/workflowmodeler
93355453,mpanicker/cloudify-aws-nodejs-mongo
158908664,WF-ShAre/NJ-WF
151773776,WF-ShAre/Picard-WF
64192232,d-colwell/TosCode
158792300,WF-ShAre/LifeCycleScripts
156462337,jrrsblues/ArenadosHerois
105375353,alefais/ase-fall-17
52245192,junneyang/cloudify-practice
