id,url,smelly,lines_code
536,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/logstash/linux/bash/relationships/elasticsearch/configure.sh,,
242,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/cloudify/manager/v4/scripts/aws_init_conf_file.sh,,
653,https://raw.githubusercontent.com/radon-h2020/demo-lambda-thumbgen-tosca-datapipeline/master/nodetypes/radon/nodes/nifi/nifipipeline/files/delete.yml,,12.0
495,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/alien4cloud/config/backupRestoreS3/scripts/backup.sh,,
413,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/spark/job-linux-sh/scripts/submit.sh,,
429,https://raw.githubusercontent.com/alien4cloud/samples/master/demo-lifecycle/scripts/Generic/configure.sh,,4.0
678,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/dns/resolvconf/ansible/playbooks/configure.yaml,,15.0
227,https://raw.githubusercontent.com/alien4cloud/samples/master/apache-load-balancer/scripts/start_apache_load_balancer.sh,,1.0
9,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/demo/spark-jobs/scripts/io.sh,,3.0
535,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/demo/spark/streaming/scripts/SparkStreamingModule/delete.sh,,8.0
432,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/consul/consul_sh/scripts/consul/join_consul_cluster.sh,,4.0
408,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/flink/linux/bash/scripts/flink_install.sh,,
482,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/alien4cloud/webapp/scripts/alien/install_alien.sh,,
332,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/squid3/linux_sh/scripts/stop_squid3.sh,,4.0
40,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/sandbox/services/dummy/client/scripts/start.sh,,1.0
437,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/node-mongo/scripts/mongo/start.sh,,1.0
247,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/demo/kafka/topic/scripts/KafkaTopic/delete.sh,,2.0
618,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/consul/linux/bash/scripts/consul_install.sh,,
507,https://raw.githubusercontent.com/ystia/forge/develop/org/ystia/beats/linux/bash/scripts/configure_heartbeat.sh,,
545,https://raw.githubusercontent.com/ystia/yorc-a4c-plugin/develop/tosca-samples/org/ystia/yorc/samples/DataTypes/linux/scripts/show_inputs.sh,,1.0
18,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/sockshop-app/sockshop/scripts/payment/install.sh,,5.0
313,https://raw.githubusercontent.com/alien4cloud/csar-public-library/develop/org/alien4cloud/elasticsearch/centos/scripts/elasticsearch/configure_elasticsearch.sh,,
54,https://raw.githubusercontent.com/alien4cloud/samples/master/org/alien4cloud/mock/bash/scripts/fail.sh,,1.0
473,https://raw.githubusercontent.com/di-unipi-socc/TosKer/master/data/examples/software-link/scripts/delete.sh,,1.0
